id,name,description,animation_name,difficulty
1,Barbell Squat,"Lower your hips while keeping your chest up and weight balanced over your mid-foot. Keep your knees tracking in line with your toes and maintain a neutral spine throughout the movement. Avoid letting your knees collapse inward, lifting your heels, or rounding your lower back. Tempo: 2 seconds down, slight pause, 1 second up.",barbell_squat,MEDIUM
2,Bicep Curl,"Curl the weight upward by bending your elbows while keeping them close to your torso. Focus on isolating the biceps and controlling the movement rather than using momentum. Avoid swinging your body or letting your elbows drift forward. Tempo: 2 seconds up, 3 seconds down.",bicep_curl,EASY
3,Bicycle Crunch,"Bring opposite elbow to knee while rotating your torso and extending the other leg. Engage your core throughout the movement and keep your lower back pressed into the ground. Avoid pulling on your neck or rushing the reps. Tempo: controlled, about 1 second per side.",bicycle_crunch,MEDIUM
4,Burpee,"Start in a squat, place your hands down, jump your feet back into a plank, then return to squat and explode upward into a jump. Keep your core tight during the plank and land softly on your feet. Avoid sagging hips or losing control during transitions. Tempo: explosive but controlled.",burpee,HARD
5,Circle Crunch,"Perform a circular motion with your upper body while keeping your core engaged at all times. Focus on controlled movement rather than speed to fully activate the abdominal muscles. Avoid using momentum or relaxing your core. Tempo: slow and controlled circles.",circle_crunch,MEDIUM
6,Front Raise,"Raise your arms forward to shoulder height with a slight bend in the elbows while keeping your torso stable. Control both the lifting and lowering phases to avoid momentum. Avoid swinging the weights or shrugging your shoulders. Tempo: 2 seconds up, 3 seconds down.",front_raise,EASY
7,Front Squat,"Hold the weight in front of your body while keeping your elbows high and torso upright as you squat down. Engage your core to maintain balance and depth. Avoid letting your elbows drop or leaning forward excessively. Tempo: 3 seconds down, 1 second up.",front_squat,HARD
8,Jumping Jacks,"Jump your feet apart while raising your arms overhead, then return to the starting position in a smooth rhythm. Keep your movements light and controlled. Avoid stiff landings or losing coordination. Tempo: steady and consistent.",jumping_jacks,EASY
9,Kettlebell Swing,"Drive the kettlebell forward using a powerful hip thrust while keeping your arms relaxed and your back neutral. The movement should come from the hips, not the arms. Avoid squatting too deep or rounding your lower back. Tempo: explosive hips, controlled return.",kettlebell_swing,MEDIUM
10,Deadlift,"Lift the weight from the ground by hinging at the hips while keeping your back straight and core engaged. Drive through your heels and extend your hips fully at the top. Avoid rounding your lower back or jerking the weight. Tempo: controlled lift and descent.",overhead_squat,HARD
11,Pistol Squat,"Perform a single-leg squat while extending the other leg forward, keeping control throughout the entire movement. Focus on balance and stability while lowering yourself slowly. Avoid letting your knee collapse inward or losing balance. Tempo: slow descent, controlled rise.",pistol_squat,HARD
12,Push Up,"Lower your body until your chest is close to the ground while keeping your body in a straight line from head to heels. Push back up by engaging your chest and arms. Avoid sagging your hips or shortening the range of motion. Tempo: 2 seconds down, 1 second up.",push_up,MEDIUM
13,Sit Up,"Lift your torso toward your knees by engaging your core while keeping your movement controlled. Focus on using your abdominal muscles rather than momentum. Avoid pulling on your neck or jerking upward. Tempo: controlled up and down.",sit_up,EASY
14,Sumo High Pull,"From a wide stance, drive through your hips to pull the weight upward while keeping your elbows high and outside. Use both hips and arms in coordination. Avoid relying only on your arms or rounding your back. Tempo: explosive pull, controlled lowering.",sumo_high_pull,MEDIUM
